ID,Record Date,Org Name (name of org/page),English Name (translation),Description (purpose),Main Language,Base Country,Location,Media Type,Link,Members/Likes,Status/last post
109,2015-11-24,"#refugeehackathon October 24th/25th, 2015",,Run by volunteers,,Europe,Berlin,Website,http://refugeehackathon.de/,,
167,2015-12-11,"#trainofhope, #refugeeswelcome",,"To let refugees know they are welcome in a certain area, as well as in some cases letting them know that at a train station or border crossing, there will be volunteers distributing blankets, water, and food ","English, German",Europe,Throughout Europe,Twitter,https://twitter.com/hashtag/trainofhope,,
5,2015-12-6,Adéla Válková,Adéla Válková ,Law student at King's College London & activist in Amnesty International. She recently arrived in Lesvos as volunteer and she takes pictures / sent twitter updates on the local situation,English,Greece,Lesvos,Twitterpage,https://twitter.com/Adela_Valkova, 28,Active
207,2012-12-17,Adventist Help,,Adventist Help is a project established to help refugees on the move through Europe in the mounting refugee crisis.,English,Switzerland,Lesbos,FB page,https://www.facebook.com/AdventistHelp/timeline, 811,Active
22,2015-12-8,Aid Box Convoy,,"We are a group of volunteers from Bristol who are collecting, delivering and distributing some much needed AID BOXES to refugees in Europe in October.",English,United Kingdom,Bristol/Dunkirk,FB page,https://www.facebook.com/Aid-Box-Convoy-Bristol-to-Refugees-in-Europe-1497749723870532/,1 380,Active
111,2015-11-24,Aide les refugies,,Map-portal,,France,,Google maps,https://www.google.com/maps/d/viewer?mid=zD6-QzhUAoEg.kjrOGyXjiRcY,,
211,2015-12-25,Alamal الأمل,Hope,"All our members are from different Arab countries such as Algeria, Jordan, Palestine, Lebanon, Syria and Moroccoareas of focus the development of positive identity character of our children, to develop through awareness roots and heritage and historical as well as the acquisition of language skills in Arabic",Arabic,Norway,Bergen,FB public group,https://www.facebook.com/groups/palfor/, 376,Active
162,2015-11-24,Allt åt Alla,,"Political group, engaged in sheltering refugees",,Sweden,Malmö,Facebook,https://www.facebook.com/alltatallamalmo/timeline,5 369,Active
188,2015-12-14,Americans for Refugees in Crisis,,"Americans for Refugee in Crisis (ARC)]http://americansforrefugees.org/ is a collaborative citizens group, which was formed to pool together the various skills and expertise of the group, in order to more effectively aid the refugee crisis in Europe",English,USA,New York,FB public group,https://www.facebook.com/groups/refugeecrisis/, 694,Active
1,2015-12-6,"Andrew Connelly - Journalist
",Andrew Connelly - Journalist,Journalist covenring refugee crisis in Lesbos /Lesvos for several media,English,Greece,Lesvos,Twitterpage,https://twitter.com/connellyandrew,3 176,Active
23,2015-12-8,Antwerpen voor Duinkerke,Antwerp for Dunkirk,From Antwerp we are trying to bring the dramatic living conditions of the refugees in Dunkirk more attention and provide assistance.,Dutch/English,France,Dunkerque,FB page,https://www.facebook.com/antwerpenvoorduinkerke/, 250,Active
205,2015-12-17,Aphrodite Hotel,Aphrodite Hotel,Hotel FB page ,English,Greece,Lesbos,FB page,https://www.facebook.com/Aphrodite-Hotel-262223833048/, 555,Active
114,2015-11-24,Arbeitsgemeinschaft Flüchtlinge Werne,,AGF,,Germany,Werne,Facebook,https://www.facebook.com/AGFWerne?ref=br_rs, 266,Active
6,2015-12-6,Are You Syrious?,Are You Syrious?,"FB page collecting donations for refugees along the Balkan migration route, seems to have a lot of up to date information and they do a very informative daily news post.",English,Croatia,"AKC MEDIKA, Pierottijeva 11 Zagreb, Croatia",FB page,https://www.facebook.com/areyousyrious/timeline,6 604,Active
66,2015-12-9,Askøy Hjelper,,Organizing and discussing initiatives to assist in refugee situation. Subgroup of RWT Norway,Norwegian,Norway,Hordaland,FB Community,https://www.facebook.com/Askoyhjelper1/timeline, 800,Active
103,2015-11-24,Bapska Croatia-Serbia Border,,Volunteer Group,,Croatia,Bapska,Facebook,https://www.facebook.com/groups/164664900544022/members/, 96,Active
160,2015-11-24,Bienvenidos Refugiados - España,,,,Spain,,Facebook,https://www.facebook.com/BienvenidosRefugiados,15 118,Active
115,2015-11-24,Bücherhallen,,,,Germany,Hamburg,FB page,https://www.facebook.com/sprachbruecke.hamburg, 626,Active
116,2015-11-24,Bündnis für Demokratie und Toleranz,,,,Germany,,Website,http://demokratie-mh.de/helfen/,,
